Index;Element;X;Y;Z;FragmentID
1152;C;115.34095698349775;107.2140266398233;109.59670792386308;33
1153;C;116.2209981074191;107.3299572492487;110.84403650766933;33
1154;H;114.32910864672854;106.95101698991772;109.89543889921515;33
1155;H;115.73652175355663;106.41372871430433;108.96620655508288;33
1156;C;116.14628175983245;106.03698602310023;111.6575333254506;33
1157;H;117.24952340960108;107.52317504249007;110.53676406891228;33
1158;H;115.8963581830351;108.17533393413036;111.45318333364469;33
1159;C;117.2561284146595;105.89554405637874;112.69976547924138;33
1160;H;115.16887458160807;105.96963338552627;112.13723064651573;33
1161;H;116.23617621450106;105.19009697964884;110.97238921349839;33
1162;C;117.29694944475375;106.94540248816038;113.79137493899566;33
1163;H;117.14613339117246;104.93247532894361;113.20468087343873;33
1164;H;118.23237627127662;105.89383311831128;112.21014755761108;33
1165;N;116.13694455320064;107.23123525781436;114.38265593202199;33
1166;C;116.02472012090666;108.14271805487904;115.50338731965061;34
1167;H;115.29750329451261;106.7214180597854;114.13300671221523;33
1168;O;116.31860496750767;108.89511617011945;108.17959082111248;33
1169;C;114.69812141889969;108.89047987732735;115.45580657705953;34
1170;H;116.10129932025686;107.57524729902174;116.43891798241418;34
1171;H;116.86939299353071;108.83303227287004;115.45566661688416;34
1172;C;114.60625938037367;109.82688403945383;114.2533969037692;34
1173;H;113.89948515035842;108.1500233825136;115.41144912730913;34
1174;H;114.58135344602348;109.46367744652689;116.37539827159652;34
1175;C;113.20046549039621;110.39715966463824;114.05823565287326;34
1176;H;115.30842166359334;110.64945001353158;114.39648766944198;34
1177;H;114.91491031255734;109.28368078431379;113.35963869191735;34
1178;C;112.19548746777164;109.39022282506232;113.49336254147889;34
1179;H;112.82784148008699;110.75093238044768;115.02116609333785;34
1180;H;113.24660239538701;111.25446492493559;113.38781248330015;34
1181;C;112.48858118235938;108.9963979231088;112.04035046945393;34
1182;H;112.21385736019099;108.48976388432959;114.10757857011173;34
1183;H;111.19897911872765;109.8258977886932;113.57663533839816;34
1184;N;112.3786855265822;107.56161116299336;111.84766471159149;34
1185;H;111.78934778113006;109.47061659147057;111.34875006632548;34
1186;H;113.50024839807338;109.31288122469121;111.76156562648342;34
1187;O;118.359596377159;107.47212591624952;114.12394524774882;33
1188;C;112.02282039441576;107.00287976891472;110.68902229367704;34
1189;H;112.70074721720536;106.97246946111194;112.61055549638196;34
1190;C;111.97288483429003;105.48407074820979;110.6977833040519;34
1191;C;112.25909613735952;104.89342132621778;109.3158557718818;34
1192;H;112.6728893697765;105.10853028265542;111.44326141376492;34
1193;H;110.9670102596435;105.18731976493432;111.01127512449321;34
1194;C;112.05345871596467;103.37960736959576;109.26724333127568;34
1195;H;111.58814314025476;105.37001827533514;108.5990101040715;34
1196;H;113.28141071609242;105.12903540360921;109.01539813662825;34
1197;C;113.20260505698165;102.61279550362504;109.92564799240994;34
1198;H;111.12041554592581;103.1433744297522;109.77590427538149;34
1199;H;111.97162932230471;103.06480564445835;108.22543330135099;34
1200;C;112.99403183909878;101.11679548356767;109.96217896679813;34
1201;H;114.14313978849103;102.81573666119715;109.40894811444826;34
1202;H;113.31419787876504;102.94547647784033;110.95763241459923;34
1203;N;111.84897957246952;100.67878965627908;110.46956202913562;34
1204;O;111.74576887950892;107.67106911884146;109.69187302189573;34
1205;C;111.54798053940095;99.26525903756725;110.58286466277812;35
1206;H;111.12526868980686;101.32243008431682;110.77795057684887;34
1207;C;110.53813455747363;98.99507489113635;111.68946060081042;35
1208;H;111.15538289348454;98.90116901851022;109.62537071786389;35
1209;H;112.48475643510045;98.7383834359644;110.78811239159269;35
1210;C;111.04742407909687;99.40857766098229;113.0690854551297;35
1211;H;109.6151541926061;99.53593361568464;111.47283520354006;35
1212;H;110.31473572623233;97.92730687139525;111.68817232886201;35
1213;C;110.12379667374275;98.90383380814471;114.17409558468592;35
1214;H;112.04719349307607;99.00919765727107;113.24293904618372;35
1215;H;111.11019538703705;100.495964551665;113.11548748317942;35
1216;C;110.65426759371685;99.19989366309744;115.5746244399691;35
1217;H;109.13606935868405;99.35143001715872;114.05418324129461;35
1218;H;110.01129898152222;97.82200847043548;114.07488469964862;35
1219;C;110.80895168847906;100.69135356932597;115.8569721761205;35
1220;H;109.9641323839706;98.7837463293053;116.31290625858661;35
1221;H;111.6271618985903;98.72417260727823;115.70116883512733;35
1222;N;110.93425010941797;100.92121130095776;117.27947669677457;35
1223;H;111.70460108658504;101.08116210601024;115.36923773788321;35
1224;H;109.93633388230542;101.24531093423494;115.48422907139404;35
1225;C;111.66298949256822;101.88223523044033;117.83833087177482;35
1226;H;110.43645136724403;100.27533687247453;117.88008660337978;35
1227;O;113.8635828038485;100.32244985973128;109.563845464408;34
1228;C;111.59746876473127;101.91249647031448;119.35259861388407;35
1229;C;112.55595418556034;100.90121493450926;119.98317903366983;35
1230;H;111.85234115253057;102.91764599664899;119.69244420144332;35
1231;H;110.57922356515702;101.67805751902485;119.6643610882791;35
1232;C;112.57547095253577;101.05657835204197;121.50041018812757;35
1233;H;112.22791415172364;99.89499632978561;119.71505369079723;35
1234;H;113.56183030424577;101.04841875766061;119.58400719043671;35
1235;C;113.45114494291738;100.01914923593687;122.19269154148024;35
1236;H;112.94088649791654;102.04756076308536;121.77192345562904;35
1237;H;111.55798707726052;100.97111077922035;121.88404971244474;35
1238;C;113.29926945108693;100.06666900253703;123.70305307470274;35
